LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 276;SAN CAYETANO;JAMUNDI;VALLE DEL CAUCA;105;101,65;85,84;33,73;33,56;64,5;4;2;0;24;30; $ 3.346.420 ; $ 31.878 ; $ 32.921 ;NO;400;295
AMB;CAF 277;SAF ARROYO HONDO;MEDELLIN;ANTIOQUIA;0;65;101,17;0;37,92;37,19;6;6;0;NA;35; $ -   ; $ -   ; $ -   ;SI;600;600
AMB;CAF 278;AGUADAS;EL PEÑON;BOLIVAR;112;64,75;78,81;36,95;33,55;24,67;1;2;1;12;7,5; $ 1.320.000 ; $ 11.779 ; $ 20.386 ;NO;100;-12
AMB;CAF 279;ORIHUECA;MAHATES;BOLIVAR;110;42,3;81,53;15,6;34,63;20,8;1;2;1;16;7,75; $ 464.515 ; $ 4.216 ; $ 10.981 ;NO;100;-10
AMB;CAF 280;LIBERTADORES;SANTA MARTA;MAGDALENA;126;90;96,27;28,9;36,74;27,64;5;3;0;24;34; $ 2.001.997 ; $ 15.933 ; $ 22.244 ;NO;500;374
AMB;CAF 281;PUNTO CLAVE;PRADERA;VALLE DEL CAUCA;0;49,62;83,88;14,14;35,56;24,59;1;2;2;12;32; $ 1.633.540 ; $ -   ; $ 32.921 ;NO;100;100
AMB;CAF 282;SAF EL PENON;BOGOTA;CUNDINAMARCA;93;128,48;89,91;28,19;33,65;66,45;5;3;2;16;30; $ -   ; $ -   ; $ -   ;SI;500;407
AMB;CAF 283;SAF MALAGANA;MOÑITOS;CORDOBA;55;21,49;84,88;8,54;33,28;9,94;1;2;0;4;30; $ -   ; $ -   ; $ -   ;SI;100;45
AMB;CAF 284;SANTA MARTA ESPECIALIZADO MAC;BARRANQUILLA;ATLANTICO;90;24,89;85,81;7,21;33,55;15,39;3;2;0;6;7,5; $ 3.102.340 ; $ 34.631 ; $ 124.642 ;NO;300;210
AMB;CAF 285;PRADERA;SIMITI;BOLIVAR;83;87,1;80,74;24,24;34,32;43,72;3;2;0;16;7,75; $ 1.905.221 ; $ 22.977 ; $ 21.874 ;NO;300;217
AMB;CAF 286;SAN CRISTOBAL;MANIZALES;CALDAS;18;68,25;72,42;20,94;29,73;29,34;1;1;2;8;26; $ 4.130.552 ; $ 235.649 ; $ 60.521 ;NO;100;82
AMB;CAF 287;MONITOS;TIQUISIO;BOLIVAR;72;24;75,90;8,1;32,40;13,2;1;2;0;4;7,25; $ 1.589.904 ; $ 22.015 ; $ 66.246 ;NO;100;28
AMB;CAF 288;SAF LA PLAYA;LA UNION (NARIÑO);NARIÑO;0;103,75;71,69;20,41;30,73;35,29;2;2;1;16;27; $ -   ; $ -   ; $ -   ;SI;200;200
AMB;CAF 289;SAF SIMITI;RIO VIEJO;BOLIVAR;96;91,05;79,97;23,83;34,01;63,09;1;2;0;12;31; $ -   ; $ -   ; $ -   ;SI;100;4
AMB;CAF 290;PANTAGORAS;FILADELFIA;CALDAS;19;49,61;81,37;18,65;32,28;22,67;1;2;2;16;29; $ 1.639.200 ; $ 85.453 ; $ 33.042 ;NO;100;81
AMB;CAF 291;TIQUISIO;ARANZAZU;CALDAS;16;46,38;98,03;23,02;31,10;18,24;2;2;0;8;28; $ 1.361.207 ; $ 87.263 ; $ 29.349 ;NO;200;184
AMB;CAF 292;JUANAMBU;CANALETE;CORDOBA;58;51,65;77,78;15,15;33,14;29,5;1;2;2;12;7,5; $ 1.267.440 ; $ 22.000 ; $ 24.539 ;NO;100;42
AMB;CAF 293;RIO VIEJO;OBANDO;QUINDIO;0;47,85;79,74;12;33,92;23;1;2;2;9;31; $ 2.007.068 ; $ -   ; $ 41.945 ;NO;100;100
AMB;CAF 294;FILADELFIA;BOGOTA;CUNDINAMARCA;45;41,75;89,99;10,87;34,74;24,97;2;2;0;6;32; $ 718.120 ; $ 15.904 ; $ 17.200 ;NO;200;155
AMB;CAF 295;SAN RAGUEL;PEREIRA;RISARALDA;0;113,25;80,09;NA;31,92;87,06;3;2;0;NA;29; $ 1.008.403 ; $ -   ; $ 8.904 ;NO;300;300
AMB;CAF 296;SAF CANALETE;PACORA;CALDAS;23;38,68;71,92;12,61;30,83;25,27;1;2;1;14;28; $ -   ; $ -   ; $ -   ;SI;100;77
AMB;CAF 297;OBANDO;CHALAN;SUCRE;30;43,18;74,45;11,13;31,83;20,87;2;2;0;8;29; $ 494.470 ; $ 16.474 ; $ 11.451 ;NO;200;170
AMB;CAF 298;ATENAS;PENSILVANIA;CALDAS;8;52,44;102,06;16,15;42,75;18,83;2;3;0;12;40; $ 5.214.000 ; $ 672.186 ; $ 99.428 ;NO;200;192
AMB;CAF 299;FOLDERAMA OTUN;NUEVA GRANADA;MAGDALENA;48;29,84;70,77;9,08;30,37;19,2;2;2;0;4;27; $ 885.950 ; $ 18.406 ; $ 29.690 ;NO;200;152
AMB;CAF 300;PACORA;TUMACO;NARIÑO;0;52,5;98,03;18,89;31,46;25;2;2;0;12;28; $ 1.726.494 ; $ -   ; $ 32.886 ;NO;200;200
AMB;CAF 301;CHALAN;ARMENIA;QUINDIO;0;138,55;80,43;27,03;34,19;23,46;2;2;2;12;31; $ 5.811.480 ; $ -   ; $ 41.945 ;NO;200;200
AMB;CAF 302;DE LOS RIOS;COPEY;CESAR;60;33,35;71,46;9,79;30,64;13,25;2;2;0;6;27; $ 1.652.250 ; $ 27.595 ; $ 49.543 ;NO;200;140
AMB;CAF 303;NUEVA GRANADA;BOGOTA;CUNDINAMARCA;37;82,55;71,69;25,14;30,73;40,72;3;2;2;11;27; $ 5.315.477 ; $ 144.781 ; $ 64.391 ;NO;300;263
AMB;CAF 304;TUQUERRES;AGUACHICA;CESAR;84;107,3;73,07;27,92;31,28;46,09;4;2;0;18;28; $ 4.500.699 ; $ 53.623 ; $ 41.945 ;NO;400;316
AMB;CAF 305;FURATENA;CARTAGENA;BOLIVAR;58;19,62;70,77;5,7;30,37;11,8;1;2;0;3;6,75; $ 1.852.296 ; $ 31.845 ; $ 94.409 ;NO;100;42
